,id,name,city,experience,type,address,published_at,archived,employer,contacts,schedule,employer_trusted,professional_roles
98,53878838,Аналитик данных,Алматы,От 1 года до 3 лет,Открытая,,2022-03-15T14:24:32+0300,False,"Евразийский банк, АО",,fullDay,True,Аналитик
99,53816255,Бизнес-Аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-14T13:24:50+0300,False,АО «Bank Freedom Finance Kazakhstan»,,fullDay,True,Аналитик
100,53812247,Middle BI-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-14T12:34:52+0300,False,ASPEX,,remote,True,Аналитик
101,54094469,Data Analyst Службы вознаграждения и оргэффективности,Алматы,От 1 года до 3 лет,Открытая,,2022-03-19T21:51:46+0300,False,Казахтелеком,,fullDay,True,Аналитик
102,53791882,Аналитик Power BI,Алматы,От 1 года до 3 лет,Открытая,,2022-03-14T07:40:49+0300,False,«ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»,,fullDay,True,Аналитик
103,53983327,Финансовый бизнес аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-17T11:40:03+0300,False,VILED GROUP,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
104,53870928,Менеджер-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-15T12:26:22+0300,False,КазТур,,fullDay,True,Бухгалтер
105,53791096,Бизнес - аналитик (junior),Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-14T07:16:13+0300,False,Prime Source,,fullDay,True,Аналитик
106,50939879,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-12T15:39:15+0300,False,СберРешения,,fullDay,True,Аналитик
107,53910921,Бизнес-аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-16T07:25:17+0300,False,Business Applications Solutions,,fullDay,True,"Продавец-консультант, продавец-кассир"
108,47438202,Бизнес-аналитик,Алматы,Более 6 лет,Открытая,,2022-03-14T07:04:35+0300,False,ДБ Альфа-Банк,,fullDay,True,Аналитик
109,53626998,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-10T13:02:21+0300,False,Абди Ибрахим Глобал Фарм,,fullDay,True,Аналитик
110,53997236,"Аналитик бизнес процессов, kpi",Актобе,От 3 до 6 лет,Открытая,,2022-03-17T15:20:13+0300,False,DENTAL CENTRE,,fullDay,True,Аналитик
111,52462402,Аналитик по инновациям,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-16T06:44:00+0300,False,ERG Service,,fullDay,True,Аналитик
112,53689978,Бизнес-аналитик,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-11T13:46:16+0300,False,Prime Source,,flexible,True,Аналитик
113,53693619,Ведущий аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-11T14:45:13+0300,False,"Beeline, ТМ",,fullDay,True,Аналитик
114,53680887,Аналитик данных,Алматы,От 1 года до 3 лет,Открытая,,2022-03-11T11:39:43+0300,False,Astana-Plat,,fullDay,True,Аналитик
115,54261086,System Analyst,Алматы,От 1 года до 3 лет,Открытая,,2022-03-23T17:53:32+0300,False,Playrix,,fullDay,True,Аналитик
116,53857172,Бизнес-аналитик (маркетолог),Алматы,От 1 года до 3 лет,Открытая,,2022-03-15T08:52:30+0300,False,Алси,,fullDay,True,Менеджер по маркетингу и рекламе
117,54272047,Финансовый аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T08:50:57+0300,False,Масло-Дел,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
118,53986831,Data Analyst / Web Analyst,Алматы,От 1 года до 3 лет,Открытая,,2022-03-17T12:30:57+0300,False,Improvado,,remote,True,Аналитик
119,53549790,Аналитик BI (отчетность DWH),Алматы,От 1 года до 3 лет,Открытая,,2022-03-09T09:44:59+0300,False,Тинькофф,,remote,True,Аналитик
